nome_arquivo;tipo_documento;numero_documento;data_emissao;fornecedor;cnpj_fornecedor;descricao_servico;valor_bruto;data_pagamento;data_emissao_nf;aprovado_por;banco_destino;status;hash_verificacao;status_auditoria;total_anomalias;regras_disparadas
arquivos_nf/DOC_0016.txt;CONTRATO_ADITIVO;NF-77839;05/08/2023;Consultoria RH Parceiros;34.567.890/0001-34;Avaliação de Desempenho;8500.0000;04/09/2023;01/08/2023;Roberto Lima;Bradesco Ag.0001 C/C 99887-7;ESTORNADO;NLC0016573417;SUSPEITO;1;STATUS_INCONSISTENTE
arquivos_nf/DOC_0017.txt;NOTA_FISCAL;NF-10942;19/08/2023;TechSoft Ltda;12.345.678/0001-90;Implantação de Módulo;3500.0000;22/08/2023;17/08/2023;Fernanda Costa;Banco do Brasil Ag.1234 C/C 56789-0;PAGO;NLC0017174441;APROVADO;0;
arquivos_nf/DOC_0018.txt;NOTA_FISCAL;NF-97684;11/03/2023;TechSoft Ltda;12.345.678/0001-90;Licença de Software ERP;12000.0000;09/04/2023;11/03/2023;Fernanda Costa;Banco do Brasil Ag.1234 C/C 56789-0;PAGO;NLC0018608993;APROVADO;0;
arquivos_nf/DOC_0019.txt;NOTA_FISCAL;NF-22363;10/01/2025;DataCenter Cloud SA;23.456.789/0001-12;Backup Gerenciado;19500.0000;09/02/2025;06/01/2025;Roberto Lima;Santander Ag.3456 C/C 78901-2;PAGO;NLC0019201639;SUSPEITO;1;VALOR_FORA_DA_FAIXA
arquivos_nf/DOC_0020.txt;FATURA;NF-24322;09/03/2024;Marketing Digital Pro;45.678.901/0001-56;Gestão de Mídias Sociais;3500.0000;23/03/2024;06/03/2024;Maria Silva;Santander Ag.3456 C/C 78901-2;PENDENTE;NLC0020360735;REPROVADO;2;NF_DUPLICADA|STATUS_INCONSISTENTE
arquivos_nf/DOC_0021.txt;NOTA_FISCAL;NF-19880;03/07/2024;DataCenter Cloud SA;23.456.789/0001-12;Backup Gerenciado;15000.0000;18/07/2024;02/07/2024;Ana Beatriz;Santander Ag.3456 C/C 78901-2;PAGO;NLC0021564656;APROVADO;0;
arquivos_nf/DOC_0022.txt;NOTA_FISCAL;NF-73653;21/02/2023;Limpeza & Facilities;56.789.012/0001-78;Limpeza Predial;3500.0000;14/03/2023;17/02/2023;Carlos Mendes;Banco do Brasil Ag.1234 C/C 56789-0;CANCELADO;NLC0022604740;SUSPEITO;1;STATUS_INCONSISTENTE
arquivos_nf/DOC_0023.txt;CONTRATO_ADITIVO;NF-65444;02/03/2023;DataCenter Cloud SA;23.456.789/0001-12;Firewall e Segurança;3500.0000;08/03/2023;27/02/2023;Ana Beatriz;Santander Ag.3456 C/C 78901-2;PAGO;NLC0023830429;APROVADO;0;
arquivos_nf/DOC_0024.txt;NOTA_FISCAL;NF-51104;08/06/2023;Limpeza & Facilities;56.789.012/0001-78;Limpeza Predial;8500.0000;15/06/2023;06/06/2023;Fernanda Costa;Caixa Ag.0023 C/C 44321-0;PAGO;NLC0024159942;APROVADO;0;
arquivos_nf/DOC_0025.txt;NOTA_FISCAL;NF-18981;29/05/2024;TechSoft Ltda;12.345.678/0001-90;Licença de Software ERP;6000.0000;28/06/2024;25/05/2024;Fernanda Costa;Itaú Ag.5678 C/C 12345-6;PAGO;NLC0025723939;APROVADO;0;
arquivos_nf/DOC_0026.txt;NOTA_FISCAL;NF-64948;18/02/2024;TechSoft Ltda;12.345.678/0001-90;Implantação de Módulo;8500.0000;22/02/2024;14/02/2024;Fernanda Costa;Itaú Ag.5678 C/C 12345-6;PAGO;NLC0026789305;APROVADO;0;
arquivos_nf/DOC_0027.txt;FATURA;NF-98039;25/09/2023;Limpeza & Facilities;56.789.012/0001-78;Manutenção Elétrica;12000.0000;02/10/2023;20/09/2023;Ana Beatriz;Santander Ag.3456 C/C 78901-2;PAGO;NLC0027776856;APROVADO;0;
arquivos_nf/DOC_0028.txt;NOTA_FISCAL;NF-19602;20/11/2023;Consultoria RH Parceiros;34.567.890/0001-34;Headhunting Executivo;3500.0000;20/12/2023;20/11/2023;Fernanda Costa;Caixa Ag.0023 C/C 44321-0;PAGO;NLC0028663750;APROVADO;0;
arquivos_nf/DOC_0029.txt;RECIBO;NF-67433;16/05/2023;DataCenter Cloud SA;23.456.789/0001-12;Backup Gerenciado;4200.0000;15/06/2023;14/05/2023;Ana Beatriz;Bradesco Ag.0001 C/C 99887-7;PAGO;NLC0029974244;APROVADO;0;
arquivos_nf/DOC_0030.txt;RECIBO;NF-44664;18/09/2024;Limpeza & Facilities;56.789.012/0001-78;Portaria e Recepção;3500.0000;14/10/2024;13/09/2024;Ana Beatriz;Itaú Ag.5678 C/C 12345-6;PAGO;NLC0030221035;APROVADO;0;
arquivos_nf/DOC_0031.txt;NOTA_FISCAL;NF-42914;06/10/2023;TechSoft Ltda;12.345.678/0001-90;Atualização de Sistema;8500.0000;16/10/2023;02/10/2023;Carlos Mendes;Bradesco Ag.0001 C/C 99887-7;ESTORNADO;NLC0031987204;SUSPEITO;1;STATUS_INCONSISTENTE
arquivos_nf/DOC_0032.txt;NOTA_FISCAL;NF-31178;11/10/2024;TechSoft Ltda;12.345.678/0001-90;Licença de Software ERP;3500.0000;25/10/2024;09/10/2024;Ana Beatriz;Banco do Brasil Ag.1234 C/C 56789-0;PAGO;NLC0032877236;APROVADO;0;
arquivos_nf/DOC_0033.txt;CONTRATO_ADITIVO;NF-86350;28/07/2024;Marketing Digital Pro;45.678.901/0001-56;Campanha Google Ads;4200.0000;29/07/2024;28/07/2024;Fernanda Costa;Itaú Ag.5678 C/C 12345-6;PENDENTE;NLC0033679364;SUSPEITO;1;STATUS_INCONSISTENTE
arquivos_nf/DOC_0034.txt;CONTRATO_ADITIVO;NF-97416;11/05/2023;DataCenter Cloud SA;23.456.789/0001-12;Hospedagem Cloud;12000.0000;13/05/2023;09/05/2023;Ana Beatriz;Banco do Brasil Ag.1234 C/C 56789-0;PAGO;NLC0034207786;APROVADO;0;
arquivos_nf/DOC_0035.txt;CONTRATO_ADITIVO;NF-33509;27/09/2024;Consultoria RH Parceiros;34.567.890/0001-34;Treinamento Corporativo;8500.0000;21/10/2024;26/09/2024;Carlos Mendes;Santander Ag.3456 C/C 78901-2;PAGO;NLC0035872343;APROVADO;0;
arquivos_nf/DOC_0036.txt;CONTRATO_ADITIVO;NF-15075;16/11/2024;Consultoria RH Parceiros;34.567.890/0001-34;Avaliação de Desempenho;8500.0000;14/12/2024;11/11/2024;Carlos Mendes;Itaú Ag.5678 C/C 12345-6;CANCELADO;NLC0036593554;SUSPEITO;1;STATUS_INCONSISTENTE
arquivos_nf/DOC_0037.txt;NOTA_FISCAL;NF-53025;16/04/2024;DataCenter Cloud SA;23.456.789/0001-12;Backup Gerenciado;8500.0000;28/04/2024;14/04/2024;Maria Silva;Banco do Brasil Ag.1234 C/C 56789-0;CANCELADO;NLC0037392136;SUSPEITO;1;STATUS_INCONSISTENTE
arquivos_nf/DOC_0038.txt;RECIBO;NF-44237;26/12/2023;TechSoft Ltda;12.345.678/0001-90;Implantação de Módulo;15000.0000;16/01/2024;22/12/2023;Ana Beatriz;Itaú Ag.5678 C/C 12345-6;PAGO;NLC0038287241;SUSPEITO;1;VALOR_FORA_DA_FAIXA
arquivos_nf/DOC_0039.txt;RECIBO;NF-60488;09/02/2023;Limpeza & Facilities;56.789.012/0001-78;Controle de Pragas;15000.0000;13/02/2023;05/02/2023;Ana Beatriz;Santander Ag.3456 C/C 78901-2;PAGO;NLC0039704596;APROVADO;0;
arquivos_nf/DOC_0040.txt;RECIBO;NF-66531;15/02/2023;DataCenter Cloud SA;23.456.789/0001-12;CDN e Performance;3500.0000;10/03/2023;12/02/2023;Fernanda Costa;Banco do Brasil Ag.1234 C/C 56789-0;PENDENTE;NLC0040173372;SUSPEITO;1;STATUS_INCONSISTENTE
arquivos_nf/DOC_0041.txt;FATURA;NF-62743;10/11/2024;Consultoria RH Parceiros;34.567.890/0001-34;Gestão de Benefícios;10000.0000;08/12/2024;10/11/2024;Ana Beatriz;Santander Ag.3456 C/C 78901-2;PENDENTE;NLC0041831076;SUSPEITO;1;STATUS_INCONSISTENTE
arquivos_nf/DOC_0042.txt;NOTA_FISCAL;NF-63225;16/07/2023;Consultoria RH Parceiros;34.567.890/0001-34;Treinamento Corporativo;15000.0000;30/07/2023;11/07/2023;Fernanda Costa;Caixa Ag.0023 C/C 44321-0;PAGO;NLC0042674553;SUSPEITO;1;VALOR_FORA_DA_FAIXA
arquivos_nf/DOC_0043.txt;RECIBO;NF-77000;21/10/2023;TechSoft Ltda;12.345.678/0001-90;Consultoria em TI;12000.0000;28/10/2023;18/10/2023;Roberto Lima;Santander Ag.3456 C/C 78901-2;PAGO;NLC0043596171;APROVADO;0;
arquivos_nf/DOC_0044.txt;NOTA_FISCAL;NF-36100;18/10/2023;DataCenter Cloud SA;23.456.789/0001-12;Hospedagem Cloud;12000.0000;04/11/2023;13/10/2023;Carlos Mendes;Bradesco Ag.0001 C/C 99887-7;PAGO;NLC0044254511;APROVADO;0;
arquivos_nf/DOC_0045.txt;NOTA_FISCAL;NF-60328;08/09/2023;TechSoft Ltda;12.345.678/0001-90;Consultoria em TI;4200.0000;24/09/2023;04/09/2023;Roberto Lima;Caixa Ag.0023 C/C 44321-0;PAGO;NLC0045618392;APROVADO;0;
arquivos_nf/DOC_0046.txt;NOTA_FISCAL;NF-77889;01/06/2023;Marketing Digital Pro;45.678.901/0001-56;Gestão de Mídias Sociais;3500.0000;22/06/2023;27/05/2023;Roberto Lima;Banco do Brasil Ag.1234 C/C 56789-0;PAGO;NLC0046587115;APROVADO;0;
arquivos_nf/DOC_0047.txt;NOTA_FISCAL;NF-68008;05/05/2023;TechSoft Ltda;12.345.678/0001-90;Implantação de Módulo;19500.0000;20/05/2023;04/05/2023;Fernanda Costa;Caixa Ag.0023 C/C 44321-0;PENDENTE;NLC0047742412;SUSPEITO;2;STATUS_INCONSISTENTE|VALOR_FORA_DA_FAIXA
arquivos_nf/DOC_0048.txt;CONTRATO_ADITIVO;NF-78327;15/07/2024;Limpeza & Facilities;56.789.012/0001-78;Jardinagem e Áreas Verdes;19500.0000;30/07/2024;14/07/2024;Ana Beatriz;Banco do Brasil Ag.1234 C/C 56789-0;PAGO;NLC0048608136;SUSPEITO;1;VALOR_FORA_DA_FAIXA
arquivos_nf/DOC_0049.txt;RECIBO;NF-80798;26/03/2024;DataCenter Cloud SA;23.456.789/0001-12;Backup Gerenciado;10000.0000;29/03/2024;21/03/2024;Ana Beatriz;Bradesco Ag.0001 C/C 99887-7;PENDENTE;NLC0049184491;SUSPEITO;1;STATUS_INCONSISTENTE
arquivos_nf/DOC_0050.txt;NOTA_FISCAL;NF-53369;25/08/2023;DataCenter Cloud SA;23.456.789/0001-12;Backup Gerenciado;6000.0000;07/09/2023;20/08/2023;Maria Silva;Santander Ag.3456 C/C 78901-2;CANCELADO;NLC0050668969;SUSPEITO;1;STATUS_INCONSISTENTE
arquivos_nf/DOC_0051.txt;CONTRATO_ADITIVO;NF-72518;05/03/2023;Marketing Digital Pro;45.678.901/0001-56;Email Marketing;15000.0000;12/03/2023;02/03/2023;Maria Silva;Caixa Ag.0023 C/C 44321-0;CANCELADO;NLC0051106182;SUSPEITO;1;STATUS_INCONSISTENTE
arquivos_nf/DOC_0052.txt;RECIBO;NF-73654;10/02/2025;Consultoria RH Parceiros;34.567.890/0001-34;Headhunting Executivo;8500.0000;23/02/2025;07/02/2025;Carlos Mendes;Bradesco Ag.0001 C/C 99887-7;CANCELADO;NLC0052130434;SUSPEITO;1;STATUS_INCONSISTENTE
arquivos_nf/DOC_0053.txt;FATURA;NF-61645;15/11/2024;Marketing Digital Pro;45.678.901/0001-56;SEO e Analytics;6000.0000;07/12/2024;12/11/2024;Carlos Mendes;Caixa Ag.0023 C/C 44321-0;PAGO;NLC0053720644;APROVADO;0;
arquivos_nf/DOC_0054.txt;NOTA_FISCAL;NF-59689;27/03/2023;Limpeza & Facilities;56.789.012/0001-78;Jardinagem e Áreas Verdes;6000.0000;17/04/2023;24/03/2023;Carlos Mendes;Itaú Ag.5678 C/C 12345-6;PAGO;NLC0054443254;APROVADO;0;
arquivos_nf/DOC_0055.txt;NOTA_FISCAL;NF-12540;01/12/2023;DataCenter Cloud SA;23.456.789/0001-12;Firewall e Segurança;10000.0000;12/12/2023;28/11/2023;Ana Beatriz;Itaú Ag.5678 C/C 12345-6;ESTORNADO;NLC0055885408;SUSPEITO;1;STATUS_INCONSISTENTE
arquivos_nf/DOC_0056.txt;NOTA_FISCAL;NF-12671;25/12/2023;Limpeza & Facilities;56.789.012/0001-78;Limpeza Predial;4200.0000;02/01/2024;20/12/2023;Maria Silva;Banco do Brasil Ag.1234 C/C 56789-0;PAGO;NLC0056751517;APROVADO;0;
arquivos_nf/DOC_0057.txt;NOTA_FISCAL;NF-58351;10/05/2023;DataCenter Cloud SA;23.456.789/0001-12;CDN e Performance;4200.0000;26/05/2023;05/05/2023;Carlos Mendes;Santander Ag.3456 C/C 78901-2;PAGO;NLC0057275939;APROVADO;0;
arquivos_nf/DOC_0058.txt;NOTA_FISCAL;NF-85470;07/03/2025;Limpeza & Facilities;56.789.012/0001-78;Limpeza Predial;10000.0000;03/04/2025;06/03/2025;Fernanda Costa;Itaú Ag.5678 C/C 12345-6;PAGO;NLC0058810250;APROVADO;0;
arquivos_nf/DOC_0059.txt;CONTRATO_ADITIVO;NF-84177;02/01/2025;Marketing Digital Pro;45.678.901/0001-56;Gestão de Mídias Sociais;8500.0000;09/01/2025;02/01/2025;Ana Beatriz;Caixa Ag.0023 C/C 44321-0;PAGO;NLC0059920652;REPROVADO;1;NF_DUPLICADA
arquivos_nf/DOC_0060.txt;FATURA;NF-65057;29/06/2024;TechSoft Ltda;12.345.678/0001-90;Licença de Software ERP;12000.0000;13/07/2024;24/06/2024;Fernanda Costa;Bradesco Ag.0001 C/C 99887-7;PAGO;NLC0060962276;APROVADO;0;
arquivos_nf/DOC_0061.txt;NOTA_FISCAL;NF-90728;19/03/2024;Marketing Digital Pro;45.678.901/0001-56;Campanha Google Ads;19500.0000;31/03/2024;14/03/2024;Roberto Lima;Banco do Brasil Ag.1234 C/C 56789-0;PAGO;NLC0061947458;SUSPEITO;1;VALOR_FORA_DA_FAIXA
arquivos_nf/DOC_0062.txt;NOTA_FISCAL;NF-69087;21/04/2024;Limpeza & Facilities;56.789.012/0001-78;Controle de Pragas;10000.0000;05/05/2024;16/04/2024;Carlos Mendes;Itaú Ag.5678 C/C 12345-6;PAGO;NLC0062355709;APROVADO;0;
arquivos_nf/DOC_0063.txt;CONTRATO_ADITIVO;NF-43862;11/12/2023;Marketing Digital Pro;45.678.901/0001-56;Campanha Google Ads;12000.0000;12/12/2023;08/12/2023;Roberto Lima;Banco do Brasil Ag.1234 C/C 56789-0;PENDENTE;NLC0063456871;SUSPEITO;1;STATUS_INCONSISTENTE
arquivos_nf/DOC_0064.txt;RECIBO;NF-82768;23/07/2024;Consultoria RH Parceiros;34.567.890/0001-34;Recrutamento e Seleção;8500.0000;24/07/2024;19/07/2024;Carlos Mendes;Santander Ag.3456 C/C 78901-2;ESTORNADO;NLC0064894993;SUSPEITO;1;STATUS_INCONSISTENTE
arquivos_nf/DOC_0065.txt;NOTA_FISCAL;NF-63005;23/10/2024;DataCenter Cloud SA;23.456.789/0001-12;Hospedagem Cloud;19500.0000;15/11/2024;20/10/2024;Maria Silva;Bradesco Ag.0001 C/C 99887-7;PAGO;NLC0065825391;SUSPEITO;1;VALOR_FORA_DA_FAIXA
arquivos_nf/DOC_0066.txt;RECIBO;NF-82140;10/11/2024;DataCenter Cloud SA;23.456.789/0001-12;CDN e Performance;19500.0000;29/11/2024;08/11/2024;Fernanda Costa;Bradesco Ag.0001 C/C 99887-7;CANCELADO;NLC0066446859;SUSPEITO;2;STATUS_INCONSISTENTE|VALOR_FORA_DA_FAIXA
arquivos_nf/DOC_0067.txt;NOTA_FISCAL;NF-80236;05/10/2023;Consultoria RH Parceiros;34.567.890/0001-34;Recrutamento e Seleção;8500.0000;15/10/2023;03/10/2023;Carlos Mendes;Bradesco Ag.0001 C/C 99887-7;PAGO;NLC0067899213;APROVADO;0;
arquivos_nf/DOC_0068.txt;NOTA_FISCAL;NF-23176;10/08/2023;DataCenter Cloud SA;23.456.789/0001-12;CDN e Performance;10000.0000;03/09/2023;07/08/2023;Fernanda Costa;Caixa Ag.0023 C/C 44321-0;PAGO;NLC0068973074;APROVADO;0;
arquivos_nf/DOC_0069.txt;RECIBO;NF-15965;21/08/2023;DataCenter Cloud SA;23.456.789/0001-12;Hospedagem Cloud;10000.0000;02/09/2023;20/08/2023;Fernanda Costa;Banco do Brasil Ag.1234 C/C 56789-0;PAGO;NLC0069157174;APROVADO;0;
arquivos_nf/DOC_0070.txt;RECIBO;NF-71524;15/12/2024;Limpeza & Facilities;56.789.012/0001-78;Limpeza Predial;19500.0000;20/12/2024;10/12/2024;Maria Silva;Caixa Ag.0023 C/C 44321-0;PAGO;NLC0070601968;SUSPEITO;1;VALOR_FORA_DA_FAIXA
arquivos_nf/DOC_0071.txt;FATURA;NF-19710;08/07/2023;Marketing Digital Pro;45.678.901/0001-56;Gestão de Mídias Sociais;19500.0000;10/07/2023;06/07/2023;Maria Silva;Santander Ag.3456 C/C 78901-2;ESTORNADO;NLC0071705050;SUSPEITO;2;STATUS_INCONSISTENTE|VALOR_FORA_DA_FAIXA
arquivos_nf/DOC_0072.txt;NOTA_FISCAL;NF-89471;02/06/2023;TechSoft Ltda;12.345.678/0001-90;Licença de Software ERP;10000.0000;28/06/2023;29/05/2023;Carlos Mendes;Itaú Ag.5678 C/C 12345-6;CANCELADO;NLC0072725084;SUSPEITO;1;STATUS_INCONSISTENTE
arquivos_nf/DOC_0073.txt;NOTA_FISCAL;NF-50026;05/03/2025;Limpeza & Facilities;56.789.012/0001-78;Jardinagem e Áreas Verdes;19500.0000;22/03/2025;02/03/2025;Ana Beatriz;Caixa Ag.0023 C/C 44321-0;CANCELADO;NLC0073696251;SUSPEITO;2;STATUS_INCONSISTENTE|VALOR_FORA_DA_FAIXA
arquivos_nf/DOC_0074.txt;NOTA_FISCAL;NF-41439;16/09/2024;Limpeza & Facilities;56.789.012/0001-78;Manutenção Elétrica;8500.0000;10/10/2024;16/09/2024;Ana Beatriz;Itaú Ag.5678 C/C 12345-6;PAGO;NLC0074282256;APROVADO;0;
arquivos_nf/DOC_0075.txt;NOTA_FISCAL;NF-40340;10/06/2023;Limpeza & Facilities;56.789.012/0001-78;Portaria e Recepção;19500.0000;11/06/2023;07/06/2023;Roberto Lima;Bradesco Ag.0001 C/C 99887-7;PAGO;NLC0075402099;SUSPEITO;1;VALOR_FORA_DA_FAIXA
arquivos_nf/DOC_0076.txt;NOTA_FISCAL;NF-81376;14/03/2023;Consultoria RH Parceiros;34.567.890/0001-34;Gestão de Benefícios;10000.0000;05/04/2023;13/03/2023;Carlos Mendes;Santander Ag.3456 C/C 78901-2;PAGO;NLC0076335729;APROVADO;0;
arquivos_nf/DOC_0077.txt;RECIBO;NF-67560;26/05/2023;DataCenter Cloud SA;23.456.789/0001-12;Monitoramento 24h;6000.0000;29/05/2023;26/05/2023;Fernanda Costa;Caixa Ag.0023 C/C 44321-0;PAGO;NLC0077230394;APROVADO;0;
arquivos_nf/DOC_0078.txt;RECIBO;NF-66626;17/12/2024;Marketing Digital Pro;45.678.901/0001-56;SEO e Analytics;19500.0000;30/12/2024;15/12/2024;Maria Silva;Caixa Ag.0023 C/C 44321-0;PAGO;NLC0078870214;SUSPEITO;1;VALOR_FORA_DA_FAIXA
arquivos_nf/DOC_0079.txt;RECIBO;NF-71669;27/01/2023;Consultoria RH Parceiros;34.567.890/0001-34;Avaliação de Desempenho;3500.0000;30/01/2023;26/01/2023;Fernanda Costa;Itaú Ag.5678 C/C 12345-6;PAGO;NLC0079644173;APROVADO;0;
arquivos_nf/DOC_0080.txt;RECIBO;NF-53687;05/07/2023;Marketing Digital Pro;45.678.901/0001-56;Gestão de Mídias Sociais;19500.0000;24/07/2023;02/07/2023;Roberto Lima;Bradesco Ag.0001 C/C 99887-7;CANCELADO;NLC0080436653;SUSPEITO;2;STATUS_INCONSISTENTE|VALOR_FORA_DA_FAIXA
arquivos_nf/DOC_0081.txt;NOTA_FISCAL;NF-69614;04/12/2023;TechSoft Ltda;12.345.678/0001-90;Atualização de Sistema;19500.0000;18/12/2023;29/11/2023;Roberto Lima;Caixa Ag.0023 C/C 44321-0;PAGO;NLC0081192337;SUSPEITO;1;VALOR_FORA_DA_FAIXA
arquivos_nf/DOC_0082.txt;RECIBO;NF-34586;28/11/2023;Consultoria RH Parceiros;34.567.890/0001-34;Gestão de Benefícios;3500.0000;02/12/2023;25/11/2023;Roberto Lima;Santander Ag.3456 C/C 78901-2;PAGO;NLC0082643623;APROVADO;0;
arquivos_nf/DOC_0083.txt;NOTA_FISCAL;NF-67424;02/10/2024;Consultoria RH Parceiros;34.567.890/0001-34;Avaliação de Desempenho;8500.0000;17/10/2024;02/10/2024;Fernanda Costa;Banco do Brasil Ag.1234 C/C 56789-0;PAGO;NLC0083832168;REPROVADO;1;NF_DUPLICADA
arquivos_nf/DOC_0084.txt;NOTA_FISCAL;NF-82384;30/01/2023;Marketing Digital Pro;45.678.901/0001-56;Campanha Google Ads;8500.0000;20/02/2023;26/01/2023;Ana Beatriz;Caixa Ag.0023 C/C 44321-0;PAGO;NLC0084527809;APROVADO;0;
arquivos_nf/DOC_0085.txt;NOTA_FISCAL;NF-64459;27/04/2023;TechSoft Ltda;12.345.678/0001-90;Consultoria em TI;6000.0000;12/05/2023;27/04/2023;Ana Beatriz;Caixa Ag.0023 C/C 44321-0;PAGO;NLC0085975271;APROVADO;0;
arquivos_nf/DOC_0086.txt;NOTA_FISCAL;NF-19150;07/09/2023;Marketing Digital Pro;45.678.901/0001-56;SEO e Analytics;6000.0000;22/09/2023;03/09/2023;Carlos Mendes;Caixa Ag.0023 C/C 44321-0;PAGO;NLC0086389666;APROVADO;0;
arquivos_nf/DOC_0087.txt;FATURA;NF-29476;17/03/2025;Marketing Digital Pro;45.678.901/0001-56;Produção de Conteúdo;3500.0000;03/04/2025;15/03/2025;Ana Beatriz;Caixa Ag.0023 C/C 44321-0;ESTORNADO;NLC0087568238;SUSPEITO;1;STATUS_INCONSISTENTE
arquivos_nf/DOC_0088.txt;NOTA_FISCAL;NF-84946;20/12/2023;Limpeza & Facilities;56.789.012/0001-78;Jardinagem e Áreas Verdes;15000.0000;31/12/2023;16/12/2023;Ana Beatriz;Banco do Brasil Ag.1234 C/C 56789-0;PAGO;NLC0088501574;APROVADO;0;
